site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0231406,J00251,Randalls - Mt Monger,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.927461,-31.013166,Y
S0231766,J02241,Carosue Dam - Khartoum,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",122.359244,-30.159159,Y
S0232136,J00358,Kundana - White Flag,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.237823,-30.707865,Y
S0232513,J01703,Sunrise Dam,Infrastructure,Power Plant,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.439058,-29.092441,Y
S0232728,J02816,Kalgoorlie North,Mine,Openpit,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.284819,-30.337147,Y
S0232796,J00134,Granny Smith,Infrastructure,Power Plant,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.357394,-28.843291,Y
S0234331,J04930,Kambalda Gold / RNC,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.689952,-31.242525,Y
S0234340,J01718,Kundana East,Infrastructure,Power Plant,Proposed,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.261449,-30.746316,Y
S0234764,J03724,Feysville,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.583848,-30.931857,Y
S0234790,J00358,Kundana - White Flag,Infrastructure,Power Plant,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.240802,-30.711329,Y
S0235008,J03557,Bulong South Gold,Mine,Decline,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.762912,-30.816281,Y
S0000053,J02851,Boorara / Horizon,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.644094,-30.80928,Y
S0000137,J00075,Cork Tree Well - Delta,Mine,Openpit,Shut,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.404413,-28.338636,Y
