site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0236949,J06643,Arrowsmith Central Silica Sand / VRX Silica,Arrowsmith Central,Arrowsmith Central,Mine,Openpit,Proposed,Silica - Silica Sand,Industrial Mineral,Mid-West,Shire Of Irwin,115.169228,-29.656129,Y
S0236968,J00342,Redcliffe,Hub,Hub,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,121.563431,-28.462902,Y
S0237036,J00156,Mt Magnet,Eridanus,Eridanus,Mine,Openpit,Operating,Gold,Precious Metal,Mid-West,Shire Of Mount Magnet,117.781685,-28.074872,Y
S0237055,J01376,Pennys Find,Pennys Find Underground,Pennys Find UG,Mine,Decline,Proposed,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.873865,-30.530850,Y
S0237193,J05480,Cadoux Kaolin / Cadoux Limited,Cadoux Kaolin / CCM,Cadoux Kaolin / CCM,Mine,Openpit,Proposed,Clays,Industrial Mineral,Wheatbelt,Shire Of Wongan-Ballidu,117.195783,-30.677547,Y
S0237251,J05495,Graphite Plant / First Graphene,Henderson Graphite Plant / First Graphene,Henderson Graphite Plant / First Graphene,Infrastructure,Processing Plant,Operating,Graphite,Industrial Mineral,Metro,City Of Cockburn,115.780308,-32.151106,Y
S0237291,J01837,New Bulong - Boundary - Kal East Gold Project,Myhree / Black Cat,Myhree,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.775318,-30.729082,Y
S0237397,J04792,Minyari Dome,Minyari,Minyari,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Pilbara,Shire Of East Pilbara,122.257694,-21.381333,Y
S0237402,J05516,Chichester Power,Chichester Solar Farm,Chichester Solar Farm,Infrastructure,Other,Operating,Other,Energy,Pilbara,Shire Of East Pilbara,119.748401,-22.419358,Y
S0237403,J02889,Roy Hill Iron Ore,Roy Hill Power Substation,Power Substation,Infrastructure,Power Plant,Operating,Other,Energy,Pilbara,Shire Of East Pilbara,119.950167,-22.481549,Y
S0237465,J05525,Penny Gold,Penny North Underground,Penny North UG,Mine,Decline,Operating,Gold,Precious Metal,Mid-West,Shire Of Sandstone,118.810258,-28.853313,Y
S0237609,J05537,Eramurra Salt,Eramurra Salt,Eramurra Salt,Mine,Pond,Proposed,Salt,Industrial Mineral,Pilbara,City Of Karratha,116.300725,-20.919948,Y
S0237610,J05538,Kwinana EcoGraf plant,Kwinana EcoGraf plant - Product Qualification Facility,Kwinana EcoGraf plant,Infrastructure,Processing Plant,Operating,Graphite,Industrial Mineral,Metro,City Of Kwinana,115.784018,-32.215732,Y
S0237620,J05540,Beharra Silica Sand,Beharra Silica Sand,Beharra Silica Sand,Deposit,Unspecified,Undeveloped,Silica - Silica Sand,Industrial Mineral,Mid-West,Shire Of Irwin,115.111296,-29.426209,Y
S0237940,J05605,Pilbara Energy Transmission Project,Pilbara Energy Transmission Line and Infrastructure,Power Line,Infrastructure,Other,Operating,Other,Energy,Pilbara,Town Of Port Hedland,118.940327,-21.832839,Y
S0237957,J05480,Cadoux Kaolin / Cadoux Limited,Kwinana Kaolin HPA Plant / CCM,Kwinana Kaolin HPA Plant / CCM,Infrastructure,Processing Plant,Proposed,Clays,Industrial Mineral,Metro,City Of Rockingham,115.762103,-32.258858,Y
S0238010,J02786,Hemi Gold,Hemi,Hemi,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Pilbara,Town Of Port Hedland,118.427678,-20.863369,Y
S0238023,J00772,Mt Weld REE / Lynas,Kalgoorlie RE Processing Facility / Lynas,Kalgoorlie REE Plant,Infrastructure,Processing Plant,Operating,Rare Earths,Speciality Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.402116,-30.795770,Y
S0238461,J05539,Iron Ridge,Iron Ridge Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Iron Ore,Iron,Mid-West,Shire Of Cue,117.679335,-26.954592,Y
S0238495,J06545,Pilbara Energy Generation Project,Pilbara Energy Generation Power Station,PEG Power Station,Infrastructure,Power Plant,Operating,Other,Energy,Pilbara,Shire Of Ashburton,117.956378,-22.148309,Y
S0238745,J00056,Central Norseman,Green Lantern,Green Lantern,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Dundas,121.795715,-32.480014,Y
S0238785,J00557,Gudai-Darri,Gudai-Darri Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.091997,-22.529727,Y
S0238929,J00347,Murchison / Westgold,Tuckabianna Power Station,Power Station,Infrastructure,Power Plant,Operating,Gold,Precious Metal,Mid-West,Shire Of Cue,118.146625,-27.455809,Y
S0239299,J04673,Yamarna - Gruyere JV,Gruyere Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Laverton,123.852586,-28.005041,Y
